Removed Pin From Net: NetName=+12 Pin=DS4-1
Change component parameters: Designator = "U14"; Footprint = "ICC_LQFP144_20X20_P050_SOCKET_YAMAICHI_IC149-144-145-B5_NM"; UniqueID = "\OUWECVDB\UIWQTVTY\IUDFBGBV"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BMS_Part_Number"; Value = "9175347"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://tunmcdsvn.tun.st.com/Component_Datasheet_Library/Trunk/IC/STM_STM32L552ZET6QU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ECCN_EU"; Value = "NEC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ECCN_US"; Value = "3A991A2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Internal_Part_Number"; Value = "MCD-01349"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STMICROELECTRONICS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "STM32H7A3ZIT6U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "LQFP144"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part_Type"; Value = "IC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Provided_By"; Value = "SUBCO with ST control"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Status"; Value = "Released"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "STM32H7A3ZIT6U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BMS_Part_Number"; Value = "9175293 (cut2.0)"; VariantName = "H743ZI"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "H743ZI"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://tunmcdsvn.tun.st.com/Component_Datasheet_Library/Trunk/IC/STM_STM32L552ZET6QU"; VariantName = "H743ZI"
Change component parameters (AddParameter): Name = "ECCN_EU"; Value = "NEC"; VariantName = "H743ZI"
