Removed Pin From Net: NetName=+12 Pin=DS1-1
Removed Pin From Net: NetName=+12 Pin=DS2-1
Removed Pin From Net: NetName=Meter_Htr_LED Pin=DS2-2
Removed Pin From Net: NetName=+12 Pin=DS3-1
Removed Pin From Net: NetName=+12 Pin=DS4-1
Removed Pin From Net: NetName=Arrestment Htr_LED Pin=DS4-2
Removed Pin From Net: NetName=+12 Pin=DS5-1
Removed Pin From Net: NetName=Board1_Htr LED Pin=DS5-2
Removed Pin From Net: NetName=Gearbox Htr Out Pin=P3-1
Removed Pin From Net: NetName=PF9 Pin=P3-2
Removed Pin From Net: NetName=+12 Pin=P3-3
Removed Pin From Net: NetName=GND Pin=P3-4
Removed Pin From Net: NetName=Conning Tower Htr Out Pin=P3-5
Removed Pin From Net: NetName=PC0 Pin=P3-6
Removed Pin From Net: NetName=+12 Pin=P3-7
Removed Pin From Net: NetName=GND Pin=P3-8
Removed Pin From Net: NetName=Arrestment Htr Out Pin=P3-9
Removed Pin From Net: NetName=PA3 Pin=P3-10
Removed Pin From Net: NetName=+12 Pin=P3-11
Removed Pin From Net: NetName=GND Pin=P3-12
Removed Pin From Net: NetName=Meter_Htr_Out Pin=P3-13
Removed Pin From Net: NetName=PB1 Pin=P3-14
Removed Pin From Net: NetName=+12 Pin=P3-15
Removed Pin From Net: NetName=GND Pin=P3-16
Removed Pin From Net: NetName=Board1 Htr Out Pin=P3-17
Removed Pin From Net: NetName=PA4 Pin=P3-18
Removed Pin From Net: NetName=+12 Pin=P3-19
Removed Pin From Net: NetName=GND Pin=P3-20
Removed Pin From Net: NetName=PA5 Pin=P3-22
Removed Pin From Net: NetName=GND Pin=P3-24
Removed Pin From Net: NetName=PF7 Pin=P3-26
Removed Pin From Net: NetName=GND Pin=P3-28
Removed Pin From Net: NetName=Conning Tower Htr Out Pin=R11-1
Removed Pin From Net: NetName=Meter_Htr_LED Pin=R12-1
Removed Pin From Net: NetName=Meter_Htr_Out Pin=R12-2
Removed Pin From Net: NetName=Meter Heater FET Pin=R14-1
Removed Pin From Net: NetName=Gearbox Htr Out Pin=R15-1
Removed Pin From Net: NetName=Arrestment Htr_LED Pin=R16-1
Removed Pin From Net: NetName=Arrestment Htr Out Pin=R16-2
Removed Pin From Net: NetName=Arrestment Heater FET Pin=R17-1
Removed Pin From Net: NetName=Gearbox Heater FET Pin=R18-1
Removed Pin From Net: NetName=Board1 Htr Out Pin=R19-1
Removed Pin From Net: NetName=Board1_Htr LED Pin=R19-2
Removed Pin From Net: NetName=Board1 Heater FET Pin=R20-1
Removed Pin From Net: NetName=PC0 Pin=R22-1
Removed Pin From Net: NetName=PA3 Pin=R23-2
Removed Pin From Net: NetName=PB1 Pin=R24-1
Removed Pin From Net: NetName=PA4 Pin=R25-2
Removed Pin From Net: NetName=PA5 Pin=R26-1
Change Component Comment : Designator=P3 Old Comment=TFM-115-02-S-D-A New Comment=TSW-102-07-S-S
Change component parameters: Designator = "P3"; Footprint = "SMTC-TSW-102-07-S-S"; UniqueID = "\PWNJKWDI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Colour"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.samtec.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://suddendocs.samtec.com/catalog_english/tsw_th.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/28366/1796313-28366300.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/28366/1796313-28366300.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/16734/htsw-th-16734222.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/16734/htsw-th-16734222.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Mating Length"; Value = "0.23inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "12/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "8.38 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = "Polyester"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = "0.1 inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "5.08 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Samtec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "TSW-102-07-S-S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Current Rating"; Value = "7.6A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Voltage Rating (AC)"; Value = "550V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
