Change Component Footprint: Designator=U1 Old Footprint=RGZ0048B_V New Footprint=TI-ZQW113
Change Component Comment : Designator=U1 Old Comment=MSP430FR5969IRGZR New Comment=MSP430F6637IZQWT
Change component parameters: Designator = "U1"; Footprint = "TI-ZQW113"; UniqueID = "\UPFROQSK"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "ADC"; Value = "12-bit SAR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ADC Channels"; Value = "16"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Brown Out Reset"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Code_JEDEC"; Value = "MO-225"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Comparators"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=MSP430F6637&fileType=pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/lit/ml/mpbg674/mpbg674.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DAC"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "SLAS566C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DMA"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Flash(KB)"; Value = "192"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency(MHz)"; Value = "20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "GPIO"; Value = "74"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Multiplier"; Value = "32x32"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "113-Pin Plastic Ball Grid Array Package, Body 7 x 7 mm, Pitch 0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "ZQW113"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "4204599-3/D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "MSP430F6637IZQWT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Real-Time Clock"; Value = "Yes, with battery backup"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SRAM(B)"; Value = "16384"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SubFamily"; Value = "6 Series with LCD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SVS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temp Sensor"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Timers - 16-bit"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "USB"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "USCI_A (UART/LIN/IrDA/SPI)"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "USCI_B (I2C & SPI)"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Watchdog"; Value = "Yes"; VariantName = "[No Variations]"
