Change Component Comment : Designator=BT1 Old Comment=Battery Holder - BK-916-TR New Comment=MS621FE-FL11E
Change Component Comment : Designator=R20 Old Comment=RES SMD 100 OHM 1% 1/8W 0805 New Comment=RES SMD TBD OHM 1% 1/8W 0805
Change component parameters: Designator = "R20"; Footprint = "RESC0805(2012)_N"; UniqueID = "\XLFHUJQC"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Resistance (Ohms)"; Value = "TBD"; VariantName = "[No Variations]"
Change component parameters: Designator = "BT1"; Footprint = "SEIK-MS621FE-FL11E-2_V"; UniqueID = "\CHWXPJMX"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Battery Size"; Value = "621"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Brand"; Value = "SeikoInstrumentsMicroEnergy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacity"; Value = "5.5mAh"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Chemistry"; Value = "Lithium"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/MS621FE-FL11E-Seiko-datasheet-5320152.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Jan-08"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diameter"; Value = "6.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Factory Pack Quantity"; Value = "100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "2.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "SeikoInstruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.sii.co.jp/en/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Style"; Value = "WithLeads"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Voltage"; Value = "3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tray"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Category"; Value = "CoinCellBattery"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rechargeable/Non-Rechargeable"; Value = "Rechargeable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "NotApplicable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "MS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "ThroughHole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "CoinCellBatterywithLeads"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Unit Weight"; Value = "0.008113oz"; VariantName = "[No Variations]"
