Removed Pin From Net: NetName=+5 BBB Pin=R1-2
Removed Pin From Net: NetName=GND Pin=R9-1
Removed Pin From Net: NetName=GND Pin=U7-3
Removed Pin From Net: NetName=GND Pin=U7-5
Removed Pin From Net: NetName=+5 BBB Pin=U7-7
Removed Member From Class: ClassName=LM-008 Member=R1
Removed Member From Class: ClassName=LM-008 Member=R9
Change Component Comment : Designator=U7 Old Comment=CC1R5-0505SR-E New Comment=RP15-2405SOFW
Change component parameters: Designator = "U7"; Footprint = "RP15-2405SOFW"; UniqueID = "\AGVKCILI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Applications"; Value = "ITE (Commercial)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Power Supplies - Board Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.recom-power.com/pdf/Powerline-DC-DC/RP15-OFW.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.recom-power.com/pdf/Powerline-DC-DC/RP15-OFW.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Output (Max)"; Value = "3A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Efficiency"; Value = "87%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "OCP, OVP, SCP, UVLO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Recom Power"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RP15-2405SOFW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40°C ~ 85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "6-SMD Module, 4 Leads"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=52.9, 5=52.482, 10=52.07, 25=50.4164, 50=47.937, 100=44.631 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "1.10" L x 0.94" W x 0.33" H (27.9mm x 23.9mm x 8.5mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "46"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "945-2309-5-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Isolated Module"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Input (Max)"; Value = "36V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Input (Min)"; Value = "9V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Output 1"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Output 2"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Output 3"; Value = "-"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+5 BBB Pin=U7-4
Added Pin To Net: NetName=GND Pin=U7-6
