Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=SheetNumber~String~SheetNumber~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LM-008.PrjPcb|ReportField=ProjectFullPath~C:\Users\zls\Desktop\Land_Meter_PCB\LM-008\Rev C\LM-008.PrjPcb|ReportField=Title~Bill of Materials For Project [LM-008.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~53|ReportField=ReportTime~9:44:24 AM|ReportField=ReportDate~9/10/2018|ReportField=ReportDateTime~9/10/2018 9:44:24 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~9/10/2018|ReportField=CurrentTime~9:22:53 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\zls\Desktop\Land_Meter_PCB\LM-008\Rev C\5R_Supply.doc.SchDoc|ReportField=DocumentName~5R_Supply.doc.SchDoc|ReportField=DocumentNumber~LM-008|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~9/10/2018|ReportField=Organization~|ReportField=ProjectName~LM-008.PrjPcb|ReportField=Revision~C|ReportField=Rule~|ReportField=SheetNumber~3|ReportField=SheetTotal~6|ReportField=Time~|ReportField=Title~5R Supply|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~LM-008.PrjPcb|ReportField=DataSourceFullPath~C:\Users\zls\Desktop\Land_Meter_PCB\LM-008\Rev C\LM-008.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|CAP CER 1UF 50V X7R 1210|CAP CER 1UF 50V X7R 1210|C1, C2|CAPC1206(3216)130_N|CMP-1037-04913-1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM32RR71H105KA01L%26seller%3DDigi-Key%26sku%3D490-1863-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata%20Electronics%20North%20America{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM32RR71H105KA01L%26seller%3DDigi-Key%26sku%3D490-1863-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM32RR71H105KA01L{URL.TIP}Manufacturer|2|2|Digi-Key|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM32RR71H105KA01L%26seller%3DDigi-Key%26sku%3D490-1863-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-1863-6-ND{URL.TIP}Supplier|0|1.32|0.66
2|CAP CER 10UF 6.3V X5R 1206|CAP CER 10UF 6.3V X5R 1206|C3, C4, C5|CAPC1206(3216)130_N|CMP-1037-04913-1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DJMK316BJ106ML-T%26seller%3DDigi-Key%26sku%3D587-5447-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Taiyo%20Yuden{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DJMK316BJ106ML-T%26seller%3DDigi-Key%26sku%3D587-5447-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}JMK316BJ106ML-T{URL.TIP}Manufacturer|3|1|Digi-Key|USD|3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DJMK316BJ106ML-T%26seller%3DDigi-Key%26sku%3D587-5447-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}587-5447-1-ND{URL.TIP}Supplier|4|0.9|0.3
3|10uF|CAP CER 10UF 16V X6S 0805|C6, C7, C11|CAPC0805(2012)145_N|CMP-1036-04795-1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Corporation%26mpn%3DC2012X6S1C106K085AC%26seller%3DDigi-Key%26sku%3D445-14483-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Corporation%26mpn%3DC2012X6S1C106K085AC%26seller%3DDigi-Key%26sku%3D445-14483-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C2012X6S1C106K085AC{URL.TIP}Manufacturer|3|3|Digi-Key|USD|3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Corporation%26mpn%3DC2012X6S1C106K085AC%26seller%3DDigi-Key%26sku%3D445-14483-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-14483-6-ND{URL.TIP}Supplier|39930|1.14|0.38
4|1uF|CAP CER 1UF 25V X7R 0805|C8|CAPC0805(2012)145_N|CMP-1036-04795-1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0805KKX7R6BB105%26seller%3DDigi-Key%26sku%3D311-1458-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0805KKX7R6BB105%26seller%3DDigi-Key%26sku%3D311-1458-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CC0805KKX7R6BB105{URL.TIP}Manufacturer|1|3|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0805KKX7R6BB105%26seller%3DDigi-Key%26sku%3D311-1458-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1458-6-ND{URL.TIP}Supplier|15492|0.25|0.25
5|0.68uF|CAP CER 0.68UF 50V X5R 0603|C9|1608[0603]|Cap Semi|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Corporation%26mpn%3DC1608X5R1H684K080AB%26seller%3DDigi-Key%26sku%3D445-7466-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Corporation%26mpn%3DC1608X5R1H684K080AB%26seller%3DDigi-Key%26sku%3D445-7466-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1608X5R1H684K080AB{URL.TIP}Manufacturer|1|3|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Corporation%26mpn%3DC1608X5R1H684K080AB%26seller%3DDigi-Key%26sku%3D445-7466-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-7466-6-ND{URL.TIP}Supplier|40000|0.24|0.24
6|10pF|CAP CER 10PF 16V C0G/NP0 0805|C10|CAPC0805(2012)145_N|CMP-1036-04795-1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C100M4GACTU%26seller%3DDigi-Key%26sku%3D399-9147-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C100M4GACTU%26seller%3DDigi-Key%26sku%3D399-9147-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0805C100M4GACTU{URL.TIP}Manufacturer|1|3|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C100M4GACTU%26seller%3DDigi-Key%26sku%3D399-9147-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-9147-6-ND{URL.TIP}Supplier|6077|0.13|0.13
7|4.7uF|CAP CER 4.7UF 50V X7R 1210|C12|C1210|Cap Semi|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM32ER71H475KA88L%26seller%3DDigi-Key%26sku%3D490-1864-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata%20Electronics%20North%20America{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM32ER71H475KA88L%26seller%3DDigi-Key%26sku%3D490-1864-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM32ER71H475KA88L{URL.TIP}Manufacturer|1|3|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM32ER71H475KA88L%26seller%3DDigi-Key%26sku%3D490-1864-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-1864-6-ND{URL.TIP}Supplier|10000|1.66|1.66
8|0.1uF|CAP CER 0.1UF 50V X5R 0603|C13|1608[0603]|Cap Semi|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Corporation%26mpn%3DC1608X5R1H104K080AA%26seller%3DDigi-Key%26sku%3D445-7456-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Corporation%26mpn%3DC1608X5R1H104K080AA%26seller%3DDigi-Key%26sku%3D445-7456-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1608X5R1H104K080AA{URL.TIP}Manufacturer|1|3|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Corporation%26mpn%3DC1608X5R1H104K080AA%26seller%3DDigi-Key%26sku%3D445-7456-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-7456-6-ND{URL.TIP}Supplier|0|0.1|0.1
9|2.2uF|CAP CER 2.2UF 10V X5R 0603|C14|1608[0603]|Cap Semi|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM188R61A225KE34D%26seller%3DDigi-Key%26sku%3D490-1545-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata%20Electronics%20North%20America{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM188R61A225KE34D%26seller%3DDigi-Key%26sku%3D490-1545-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM188R61A225KE34D{URL.TIP}Manufacturer|1|3|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM188R61A225KE34D%26seller%3DDigi-Key%26sku%3D490-1545-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-1545-6-ND{URL.TIP}Supplier|0|0.21|0.21
10|22pF|CAP CER 22PF 50V C0G/NP0 1206|C15|CAPC1206(3216)170_L|CMP-1037-04573-1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C220K5GACTU%26seller%3DDigi-Key%26sku%3D399-8165-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C220K5GACTU%26seller%3DDigi-Key%26sku%3D399-8165-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1206C220K5GACTU{URL.TIP}Manufacturer|1|4|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1206C220K5GACTU%26seller%3DDigi-Key%26sku%3D399-8165-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-8165-1-ND{URL.TIP}Supplier|6|0.22|0.22
