Change Component Footprint: Designator=D2 Old Footprint=SMB New Footprint=DIOD-SOD-123-2_V
Change Component Comment : Designator=D2 Old Comment=D Schottky New Comment=1N5819HW-7-F
Change component parameters: Designator = "D2"; Footprint = "DIOD-SOD-123-2_V"; UniqueID = "\DTXGDNJN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "@ IF (A)"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "@ Terminal Temperature TT (degC)"; Value = "90"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "@ VR (V)"; Value = "40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.diodes.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.diodes.com/datasheets/ds30217.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 15-2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage Drop VF (V)"; Value = "0.45"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Average Rectified Current IO (A)"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Reverse Current IR (uA)"; Value = "50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating and Storage Temperature Range"; Value = "-65 to 125 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin SOD-123, Body 2.7 x 1.55 mm, Pitch 3.7 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "SOD-123-2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packing"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "1N5819HW-7-F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Forward Surge Current IFSM (A)"; Value = "25"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Repetitive Reverse Voltage VRRM (V)"; Value = "40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Total Capacitance CT (pF)"; Value = "50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VR (RMS) (V)"; Value = "28"; VariantName = "[No Variations]"
