Removed Pin From Net: NetName=ZP Pin=C4-2
Removed Pin From Net: NetName=+5 Pin=C6-2
Removed Pin From Net: NetName=+5 Pin=C7-2
Removed Pin From Net: NetName=+5 Pin=C8-2
Removed Pin From Net: NetName=+12 Pin=C14-2
Removed Pin From Net: NetName=+12 Pin=C15-2
Removed Pin From Net: NetName=+5 Pin=L1-1
Removed Pin From Net: NetName=NetC3_1 Pin=R2-1
Removed Pin From Net: NetName=GND Pin=R2-2
Removed Pin From Net: NetName=+12 Pin=R3-1
Removed Pin From Net: NetName=GND Pin=R5-1
Removed Pin From Net: NetName=GND Pin=U2-2
Removed Pin From Net: NetName=NetC3_1 Pin=U2-3
Removed Pin From Net: NetName=+5 Pin=U2-4
Removed Pin From Net: NetName=ZP Pin=U2-5
Removed Pin From Net: NetName=+5 Pin=U2-6
Removed Pin From Net: NetName=RC Pin=U4-2
Removed Pin From Net: NetName=Power_IN Pin=U4-4
Removed Pin From Net: NetName=GND Pin=U4-5
Removed Pin From Net: NetName=+12 Pin=U4-6
Removed Pin From Net: NetName=+12 Pin=U4-7
Removed Pin From Net: NetName=+12 Pin=U4-8
Change Component Footprint: Designator=U4 Old Footprint=LMZM33603 New Footprint=LT-LGA-141-05-08-1815_V
Change Component Footprint: Designator=U2 Old Footprint=LT-S6-6-TSOT-23_N New Footprint=LT8570-MSOP
Change Component Comment : Designator=R5 Old Comment=59K New Comment=RES SMD 100K OHM 1% 1/8W 0805
Change Component Comment : Designator=U4 Old Comment=LMZM33603 New Comment=LTM4605EV#PBF
Change Component Comment : Designator=U2 Old Comment=LT3461 New Comment=LT8570
Change component parameters: Designator = "U4"; Footprint = "LT-LGA-141-05-08-1815_V"; UniqueID = "\HLGNQNVB"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Code_JEDEC"; Value = "MO-222"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.linear.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://cds.linear.com/docs/en/datasheet/4605fc.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://cds.linear.com/docs/en/packaging/05081815_C_lga141.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Extended Temp"; Value = "E, I"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency(kHz)"; Value = "200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Sync Range"; Value = "200kHz - 400kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ishutdown(uA)"; Value = "35"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Isupply(mA)"; Value = "2.8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Linear Technology"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
