Field=#~Integer~#~50|Field=Comment~String~Comment~47|Field=Description~String~Description~47|Field=Designator~String~Designator~47|Field=Footprint~String~Footprint~20|Field=LibRef~String~LibRef~20|Field=Manufacturer~String~Manufacturer~26|Field=Manufacturer 1~String~Manufacturer 1~20|Field=Manufacturer Part Number~String~Manufacturer Part Number~26|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~20|Field=Package / Case~String~Package / Case~26|Field=Quantity~Integer~Quantity~20|Field=Supplier 1~String~Supplier 1~20|Field=Supplier Currency 1~String~Supplier Currency 1~20|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~20|Field=Supplier Part Number 1~String~Supplier Part Number 1~20|Field=Supplier Stock 1~Integer~Supplier Stock 1~20|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~20|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~20|ReportField=Currency~USD|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LM_001_Rev_C.PrjPcb|ReportField=ProjectFullPath~C:\Users\zls\Desktop\Land_Meter_PCB\LM_HTR_001_Rev_C\LM_001_Rev_C.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [LM_001_Rev_C.PcbDoc]|ReportField=TotalQuantity~103|ReportField=ReportTime~11:23:02 AM|ReportField=ReportDate~9/18/2018|ReportField=ReportDateTime~9/18/2018 11:23:02 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~LM_001_Rev_C.PcbDoc|ReportField=DataSourceFullPath~C:\Users\zls\Desktop\Land_Meter_PCB\LM_HTR_001_Rev_C\LM_001_Rev_C.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|0.1uF|CAP CER 0.1UF 10V X7R 0402|C1, C2, C3, C4, C5, C7, C8, C9, C12|CAPC0402(1005)60_L|CMP-1034-00252-1|Murata Electronics North America|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM155R71A104KA01D%26seller%3DDigi-Key%26sku%3D490-6321-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata%20Electronics%20North%20America{URL.TIP}Component|GRM155R71A104KA01D|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM155R71A104KA01D%26seller%3DDigi-Key%26sku%3D490-6321-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM155R71A104KA01D{URL.TIP}Manufacturer|0402 (1005 Metric)|9|Digi-Key|USD|9|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM155R71A104KA01D%26seller%3DDigi-Key%26sku%3D490-6321-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-6321-1-ND{URL.TIP}Supplier|0|0.9|0.1
2|22uF|CAP CER 22UF 16V X5R 0805|C6, C10, C11, C13|CAPC0805(2012)145_N|CMP-1036-04795-1|Murata Electronics North America|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM219R61C226ME15L%26seller%3DDigi-Key%26sku%3D490-9952-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata%20Electronics%20North%20America{URL.TIP}Component|GRM219R61C226ME15L|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM219R61C226ME15L%26seller%3DDigi-Key%26sku%3D490-9952-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM219R61C226ME15L{URL.TIP}Manufacturer|0805 (2012 Metric)|4|Digi-Key|USD|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%2520North%2520America%26mpn%3DGRM219R61C226ME15L%26seller%3DDigi-Key%26sku%3D490-9952-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-9952-1-ND{URL.TIP}Supplier|0|2.04|0.51
3|LTST-S220KRKT|LED RED CLEAR CHIP SMD R/A|DS1, DS2, DS3, DS4, DS5, DS6|0805C_L|LED A/K|Vishay / Lite-On|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLite-On%2520Inc.%26mpn%3DLTST-S220KRKT%26seller%3DDigi-Key%26sku%3D160-1469-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Lite-On%20Inc.{URL.TIP}Component|LTST-S220KRKT|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLite-On%2520Inc.%26mpn%3DLTST-S220KRKT%26seller%3DDigi-Key%26sku%3D160-1469-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LTST-S220KRKT{URL.TIP}Manufacturer||6|Digi-Key|USD|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLite-On%2520Inc.%26mpn%3DLTST-S220KRKT%26seller%3DDigi-Key%26sku%3D160-1469-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}160-1469-1-ND{URL.TIP}Supplier|129426|2.16|0.36
4|IPL1-103-01-L-D-K|.100 TERMINAL ASSY|P1|IPL1-103-01-F-D|IPL1-103-01-F-D|Samtec Inc.|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%2520Inc.%26mpn%3DIPL1-103-01-L-D-K%26seller%3DDigi-Key%26sku%3DSAM9594-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Samtec%20Inc.{URL.TIP}Component|IPL1-103-01-L-D-K|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%2520Inc.%26mpn%3DIPL1-103-01-L-D-K%26seller%3DDigi-Key%26sku%3DSAM9594-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}IPL1-103-01-L-D-K{URL.TIP}Manufacturer||1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%2520Inc.%26mpn%3DIPL1-103-01-L-D-K%26seller%3DDigi-Key%26sku%3DSAM9594-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}SAM9594-ND{URL.TIP}Supplier|470|2.6|2.6
5|IPL1-102-01-F-S-K|.100 TERMINAL ASSEMBLY|P2, P3, P4, P5, P6, P7, P8, P9, P11, P12, P13, P15|IPL1-102-01-F-S-K|IPL1-102-01-F-S-K|Samtec Inc.|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%2520Inc.%26mpn%3DIPL1-102-01-F-S-K%26seller%3DDigi-Key%26sku%3DIPL1-102-01-F-S-K-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Samtec%20Inc.{URL.TIP}Component|IPL1-102-01-F-S-K|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%2520Inc.%26mpn%3DIPL1-102-01-F-S-K%26seller%3DDigi-Key%26sku%3DIPL1-102-01-F-S-K-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}IPL1-102-01-F-S-K{URL.TIP}Manufacturer||12|Digi-Key|USD|12|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%2520Inc.%26mpn%3DIPL1-102-01-F-S-K%26seller%3DDigi-Key%26sku%3DIPL1-102-01-F-S-K-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}IPL1-102-01-F-S-K-ND{URL.TIP}Supplier|0|20.28|1.69
6|Header 4|Header, 4-Pin|P10|IPL1-104-01-L-S-K|Header 4||{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||1||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
7|IPL1-112-01-L-D-K|IPL1-112-01-L-D-K|P14|IPL1-112-01-F-S-K|IPL1-112-01-F-S-K|Samtec Inc.|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%2520Inc.%26mpn%3DIPL1-112-01-L-D-K%26seller%3DDigi-Key%26sku%3DSAM10587-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Samtec%20Inc.{URL.TIP}Component|IPL1-112-01-L-D-K|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%2520Inc.%26mpn%3DIPL1-112-01-L-D-K%26seller%3DDigi-Key%26sku%3DSAM10587-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}IPL1-112-01-L-D-K{URL.TIP}Manufacturer||1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%2520Inc.%26mpn%3DIPL1-112-01-L-D-K%26seller%3DDigi-Key%26sku%3DSAM10587-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}SAM10587-ND{URL.TIP}Supplier|142|3.8|3.8
8|NTD4804NT4G|Power MOSFET, 30 V, 117 A, Single N-Channel, 3-Pin DPAK, Pb-Free, Tape and Reel|Q1, Q2, Q3, Q4, Q5, Q6|ONSC-DPAK-3-369AA-01_V|CMP-1058-00341-1|On Semiconductor|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNTD4804NT4G%26seller%3DDigi-Key%26sku%3DNTD4804NT4GOSDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}ON%20Semiconductor{URL.TIP}Component||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNTD4804NT4G%26seller%3DDigi-Key%26sku%3DNTD4804NT4GOSDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}NTD4804NT4G{URL.TIP}Manufacturer||6|Digi-Key|USD|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNTD4804NT4G%26seller%3DDigi-Key%26sku%3DNTD4804NT4GOSDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}NTD4804NT4GOSDKR-ND{URL.TIP}Supplier|2372|9.54|1.59
9|4.99K|RES SMD 4.99K OHM 1% 1/8W 0805|R1, R2, R7, R8, R12, R13|RESC0805(2012)_L|CMP-1013-00393-1|Vishay Dale|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08054K99FKEA%26seller%3DDigi-Key%26sku%3D541-4.99KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW08054K99FKEA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08054K99FKEA%26seller%3DDigi-Key%26sku%3D541-4.99KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW08054K99FKEA{URL.TIP}Manufacturer|0805 (2012 Metric)|6|Digi-Key|USD|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08054K99FKEA%26seller%3DDigi-Key%26sku%3D541-4.99KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-4.99KCCT-ND{URL.TIP}Supplier|0|0.6|0.1
10|6.98K|RES SMD 6.98K OHM 1% 1/8W 0805|R3, R6, R11, R14, R15, R18, R19, R20|RESC0805(2012)_N|CMP-1013-00606-1|Vishay Dale|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08056K98FKEA%26seller%3DDigi-Key%26sku%3D541-6.98KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW08056K98FKEA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08056K98FKEA%26seller%3DDigi-Key%26sku%3D541-6.98KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW08056K98FKEA{URL.TIP}Manufacturer|0805 (2012 Metric)|8|Digi-Key|USD|8|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08056K98FKEA%26seller%3DDigi-Key%26sku%3D541-6.98KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-6.98KCCT-ND{URL.TIP}Supplier|573|0.8|0.1
